UMAP_D1,concentration,UMAP_D2,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,Entropy,Hyperflatness,Hyperskewness,Kurtosis,Mean,Median,Mode,Skewness,StandardDeviation,TContrast_Avg,TContrast_Ortho_pc_value,TContrast_pc_angle,TContrast_pc_value,TCorrelation_Avg,TCorrelation_Ortho_pc_value,TCorrelation_pc_angle,TCorrelation_pc_value,TDiffAvg_Avg,TDiffAvg_Ortho_pc_value,TDiffAvg_pc_angle,TDiffAvg_pc_value,TDiffEnt_Avg,TDiffEnt_Ortho_pc_value,TDiffEnt_pc_angle,TDiffEnt_pc_value,TDiffVariance_Avg,TDiffVariance_Ortho_pc_value,TDiffVariance_pc_angle,TDiffVariance_pc_value,TEnergy_Avg,TEnergy_Ortho_pc_value,TEnergy_pc_angle,TEnergy_pc_value,TEnt_Avg,TEnt_Ortho_pc_value,TEnt_pc_angle,TEnt_pc_value,THomogeneity_Avg,THomogeneity_Ortho_pc_value,THomogeneity_pc_angle,THomogeneity_pc_value,TInvDiffMoment_Avg,TInvDiffMoment_Ortho_pc_value,TInvDiffMoment_pc_angle,TInvDiffMoment_pc_value,TSumAvg_Avg,TSumAvg_Ortho_pc_value,TSumAvg_pc_angle,TSumAvg_pc_value,TSumEnt_Avg,TSumEnt_Ortho_pc_value,TSumEnt_pc_angle,TSumEnt_pc_value,TSumVariance_Avg,TSumVariance_Ortho_pc_value,TSumVariance_pc_angle,TSumVariance_pc_value,TVariance_Avg,TVariance_Ortho_pc_value,TVariance_pc_angle,TVariance_pc_value,dmso_control,positive_control,negative_control,has_drug
F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C
1.53902,0,6.56924,-1.376683831,1.870435953,-3.329775333,0.241551861,0.349693984,-0.441455275,-3.070156574,-0.497057229,-0.00661766,0.117924467,4.569605016,1635.073975,196.1422241,25.75813841,694.0242186,313,218,3.822621795,814.4422696,0.082967937,0.091479134,30,0.094585141,0.829761428,0.848447153,135,0.853739995,0.073333029,0.078819353,30,0.081841025,0.878778851,0.89430356,30,0.901732225,0.243677777,0.243718872,60,0.243747484,0.772746563,0.776554181,135,0.778196275,0.878778851,0.89430356,30,0.901732225,0.964816343,0.967476923,135,0.968606013,0.964293866,0.967096852,135,0.968232273,0.267119719,0.267120413,60,0.267164497,0.878778851,0.89430356,30,0.901732225,0.89174317,0.900760895,135,0.903315528,0.243677777,0.243718872,60,0.243747484,1,0,0,0
0.64534,0,-6.39401,-6.222398758,-4.499037743,2.22197485,-0.686592996,1.205704451,-0.151811749,-3.079566717,0.068832338,-0.281874061,0.181689024,3.833939527,47491.15307,2149.272863,106.4710883,811.9419909,494,227,6.692159596,973.3835632,0.010315261,0.01145897,60,0.011536596,0.870250079,0.885820053,45,0.885916417,0.010086192,0.01110534,150,0.011182966,0.209887386,0.214202157,150,0.214770693,0.039748842,0.039774553,30,0.039779576,0.954014133,0.954846951,45,0.954988343,0.209887386,0.214202157,150,0.214770693,0.994995022,0.995517244,45,0.995564476,0.994979811,0.995511755,45,0.995554647,0.046954968,0.046980149,30,0.046990691,0.209887386,0.214202157,150,0.214770693,0.148680106,0.149889476,45,0.149897136,0.039748842,0.039774553,30,0.039779576,0,1,0,0
-2.54433,0,0.767516,-1.748242974,0.750653327,3.458981991,-0.484646052,-0.684714496,1.002177477,-3.024603844,0.20855245,1.516925812,0.075031802,5.190627647,1380.287136,170.0553391,23.25241283,858.1220398,612,237,3.588630153,869.7610936,0.054365989,0.059489469,150,0.062437348,0.881262543,0.894576108,45,0.897662665,0.051507302,0.055809411,150,0.058019362,0.809314926,0.822989674,150,0.830743878,0.228932315,0.228941735,60,0.228971751,0.789903461,0.792953562,45,0.793856525,0.809314926,0.822989674,150,0.830743878,0.974706573,0.977078474,45,0.977545212,0.974532105,0.976963745,45,0.977453173,0.263898394,0.263933905,150,0.263943488,0.809314926,0.822989674,150,0.830743878,0.861363271,0.867405909,45,0.868819047,0.228932315,0.228941735,60,0.228971751,0,1,0,0
-4.90744,0,2.61859,-1.027665257,-0.006186714,3.176448107,-0.234360367,-0.878766119,0.188700944,-3.061478138,-0.365080208,0.188148588,0.047586489,4.812329621,1953.428204,210.2834231,25.67681671,722.8279047,436,227,3.680132543,767.6099369,0.071164982,0.076401441,150,0.082082529,0.837829748,0.852622472,45,0.861991065,0.065885264,0.069869339,150,0.074204906,0.843626486,0.855396051,150,0.867273451,0.219420091,0.218870577,90,0.220125127,0.780406155,0.783621798,45,0.785856206,0.843626486,0.855396051,150,0.867273451,0.967878171,0.970156029,45,0.971697524,0.967581998,0.969936582,45,0.971520556,0.254985877,0.254507874,90,0.255549477,0.843626486,0.855396051,150,0.867273451,0.806515383,0.812966768,45,0.817077889,0.219420091,0.218870577,90,0.220125127,1,0,0,0
-3.80477,16,1.17711,0.926268518,2.261660814,2.241741657,0.803264499,2.112218142,-0.70408386,0.161719933,0.688756049,0.12318375,0.130778313,4.754249784,1603.408952,192.3861972,25.25772646,659.3356867,301,210,3.784834957,782.6124353,0.080274623,0.08896922,60,0.091337298,0.876898481,0.892575739,45,0.892916354,0.074418096,0.080798342,120,0.082726539,1.014788477,1.033762316,120,1.039236837,0.326059633,0.325402826,0,0.326720397,0.729325361,0.733892586,45,0.734371048,1.014788477,1.033762316,120,1.039236837,0.963727869,0.967320594,45,0.967483928,0.963375712,0.967100822,45,0.967256959,0.349191167,0.349201025,30,0.34932561,1.014788477,1.033762316,120,1.039236837,1.22396391,1.224568077,0,1.23504829,0.326059633,0.325402826,0,0.326720397,0,0,0,1
-4.17445,16,1.46386,-1.786265373,0.662414491,0.946365714,-0.322073817,1.078895688,0.626077473,0.376527816,-0.197329387,-0.257525831,-0.452747375,5.143396129,1739.794827,201.8779004,25.92160412,777.6614914,556,233,3.761978414,776.7252862,0.060085284,0.066632997,60,0.068013018,0.86128333,0.878764482,135,0.879153554,0.055421046,0.060633737,120,0.061172328,0.799297446,0.815514822,120,0.817526133,0.216568606,0.2166658,30,0.216707282,0.792555022,0.796261926,45,0.796755723,0.799297446,0.815514822,120,0.817526133,0.972994741,0.97567373,45,0.975880802,0.972751981,0.97552443,45,0.97570172,0.249097783,0.249146591,30,0.249229009,0.799297446,0.815514822,120,0.817526133,0.80618914,0.813680602,135,0.813849106,0.216568606,0.2166658,30,0.216707282,0,0,0,1
-2.58018,16,-5.17183,-4.764005661,-2.876901388,1.900960445,-0.853934467,0.353153855,0.217899874,0.324382097,1.175927281,1.4270432,-0.086184852,4.645750701,7133.052568,509.3151452,42.1326149,802.7189789,593,235,4.459348597,809.561738,0.025168066,0.027276508,120,0.02910887,0.857259454,0.87117772,45,0.878736974,0.023768834,0.025553398,120,0.026987087,0.406770645,0.413166347,120,0.41831474,0.088158709,0.088181003,30,0.088182673,0.905309559,0.906746324,45,0.907502321,0.406770645,0.413166347,120,0.41831474,0.988320566,0.989280145,45,0.989835874,0.988253906,0.989231102,45,0.989797371,0.106139966,0.106156238,120,0.106169654,0.406770645,0.413166347,120,0.41831474,0.327466771,0.329893355,45,0.331226071,0.088158709,0.088181003,30,0.088182673,0,0,0,1
3.987,16,4.15351,1.238059878,2.9142766,2.410945177,0.254254818,-2.850811958,0.052566502,0.272707909,0.693947852,0.623095989,0.140931636,5.358027628,1049.272591,131.0283589,18.48356245,741.4946957,523,215,2.971044266,687.687811,0.081027324,0.089070805,120,0.091713929,0.870730666,0.885526349,45,0.887370159,0.078773686,0.086297345,120,0.0876812,1.160566948,1.183644281,120,1.18884285,0.313396094,0.313523273,150,0.31357978,0.662940783,0.668603699,45,0.668685241,1.160566948,1.183644281,120,1.18884285,0.960982033,0.965060818,45,0.965314611,0.960838509,0.964971316,45,0.965253848,0.419789388,0.419905085,150,0.42002392,1.160566948,1.183644281,120,1.18884285,1.172557052,1.181675956,45,1.18283044,0.313396094,0.313523273,150,0.31357978,0,0,0,1
-3.31456,16,1.23044,-1.028648138,0.811483979,2.322465181,0.24038443,0.81125015,-0.584638357,0.31263262,0.404217035,-1.111185789,0.159500331,4.756749039,1530.748281,182.8552304,24.36013786,750.2578716,357,209,3.727014391,905.4113512,0.057501284,0.06255235,120,0.066374243,0.886426736,0.899032338,45,0.903072015,0.054603275,0.059159797,120,0.06125283,0.831153696,0.846037784,120,0.851740882,0.253141812,0.253197386,60,0.253222972,0.785685932,0.789399714,45,0.789585527,0.831153696,0.846037784,120,0.851740882,0.973164785,0.975802645,45,0.976298903,0.972987893,0.975676315,45,0.976216965,0.275469699,0.275373408,0,0.275546531,0.831153696,0.846037784,120,0.851740882,0.955065965,0.961391011,45,0.963456283,0.253141812,0.253197386,60,0.253222972,0,0,0,1
